response,rxtime,subj,highDimCoh,irrDimCoh,lowDimCoh
4,6.58129950868897,1,2,1,2
3,6.58130705496296,1,2,1,2
1,3.38237764826044,1,1,2,1
4,2.9990841941908,1,1,1,2
2,1.54988440754823,1,2,1,2
1,2.31600013165735,1,1,2,1
1,3.99886686378159,1,1,1,2
3,2.63253181707114,1,2,1,1
4,2.31596511718817,1,2,2,1
1,2.89930209796876,1,1,1,2
4,2.26615270040929,1,1,2,2
1,1.51607052236795,1,1,2,1
3,2.38263663370162,1,2,2,2
1,0.983188894111663,1,1,2,1
3,1.98283935454674,1,2,1,1
1,0.983216966036707,1,2,1,1
1,0.750156130641699,1,2,2,2
3,1.64952463516966,1,1,2,2
1,1.13297417480499,1,2,1,1
4,2.41593828308396,1,1,2,1
1,0.733170557068661,1,1,2,2
1,2.28271236736327,1,1,1,1
1,0.849872725782916,1,2,1,1
3,1.68280274048448,1,1,2,2
1,1.51641070470214,1,2,1,2
3,2.66601638612337,1,1,2,1
2,1.81619014474563,1,2,1,1
4,1.56639728765003,1,2,1,1
4,1.99941320810467,1,1,2,2
3,2.61579587124288,1,2,1,1
4,2.51594012416899,1,1,1,1
3,1.78273093095049,1,2,1,1
1,0.933083081617951,1,2,2,2
3,3.01574860187247,1,2,1,2
3,1.63289584545419,1,2,1,2
2,1.23299714550376,1,1,2,1
2,1.53295014775358,1,2,2,1
4,1.74943984625861,1,2,2,2
1,0.833142817020416,1,2,1,2
2,0.983104074839503,1,2,1,2
4,0.966730346437544,1,2,2,2
2,1.06625074078329,1,2,2,2
3,0.966247390257195,1,2,1,2
2,1.79938417021185,1,2,1,1
4,1.26643975754268,1,1,2,2
1,1.699676026823,1,1,2,2
3,1.96634217025712,1,1,1,1
3,2.48269854253158,1,1,1,1
4,1.86636477895081,1,2,1,2
3,1.29963515652344,1,2,1,2
3,1.48286214401014,1,1,2,1
1,2.36597373499535,1,2,2,1
3,1.84946643887088,1,1,2,2
3,5.51515713124536,1,2,1,1
1,1.18301690137014,1,1,2,1
3,1.14983085962012,1,2,2,1
3,1.43307236582041,1,1,1,2
2,1.48291828786023,1,2,2,1
4,2.34921152866445,1,1,1,1
3,2.76598502416164,1,2,2,1
1,0.816424076678231,1,2,1,2
2,3.3656960350927,1,1,1,1
3,1.79997156606987,1,2,1,1
4,2.29922222904861,1,1,2,2
3,2.73236130317673,1,1,2,1
1,0.983221191912889,1,2,2,1
3,1.94964365358464,1,1,1,2
1,1.48296205583028,1,1,1,2
3,1.39982504909858,1,1,1,1
3,2.24933918006718,1,1,1,1
2,1.03310092072934,1,1,1,2
1,1.46636043209583,1,1,1,2
1,2.18278296943754,1,1,1,2
4,3.73227769136429,1,1,2,1
3,1.96621509245597,1,1,2,1
1,1.03310725954361,1,1,1,2
2,3.64894237089902,1,1,2,1
4,2.84904234297574,1,1,1,1
2,1.1666135918349,1,1,1,1
3,1.71615630760789,1,2,2,1
1,0.849920417880639,1,2,2,1
2,2.68247644323856,1,2,2,2
1,1.2996777172666,1,2,1,2
3,1.2163122119382,1,2,2,2
2,0.933030258165672,1,2,2,2
2,2.13274145033211,1,2,2,1
