rt,subj_idx,highDimCoh,irrDimCoh,lowDimCoh,errorLev,errorDim,response
6.581299509,1,1,-1,1,2,3,2
6.581307055,1,1,-1,1,2,3,2
3.382377648,1,-1,1,-1,0,0,3
2.999084194,1,-1,-1,1,0,0,3
1.549884408,1,1,-1,1,0,0,3
2.316000132,1,-1,1,-1,0,0,3
3.998866864,1,-1,-1,1,1,1,1
2.632531817,1,1,-1,-1,0,0,3
2.315965117,1,1,1,-1,2,3,2
2.899302098,1,-1,-1,1,1,1,1
2.2661527,1,-1,1,1,0,0,3
1.516070522,1,-1,1,-1,0,0,3
2.382636634,1,1,1,1,0,0,3
0.983188894,1,-1,1,-1,0,0,3
1.982839355,1,1,-1,-1,2,3,2
0.983216966,1,1,-1,-1,0,0,3
0.750156131,1,1,1,1,0,0,3
1.649524635,1,-1,1,1,0,0,3
1.132974175,1,1,-1,-1,1,1,1
2.415938283,1,-1,1,-1,0,0,3
0.733170557,1,-1,1,1,1,1,1
2.282712367,1,-1,-1,-1,0,0,3
0.849872726,1,1,-1,-1,0,0,3
1.68280274,1,-1,1,1,1,1,1
1.516410705,1,1,-1,1,0,0,3
2.666016386,1,-1,1,-1,0,0,3
1.816190145,1,1,-1,-1,0,0,3
1.566397288,1,1,-1,-1,1,1,1
1.999413208,1,-1,1,1,0,0,3
2.615795871,1,1,-1,-1,1,1,1
2.515940124,1,-1,-1,-1,0,0,3
1.782730931,1,1,-1,-1,2,3,2
0.933083082,1,1,1,1,0,0,3
3.015748602,1,1,-1,1,2,3,2
1.632895845,1,1,-1,1,0,0,3
1.232997146,1,-1,1,-1,0,0,3
1.532950148,1,1,1,-1,0,0,3
1.749439846,1,1,1,1,0,0,3
0.833142817,1,1,-1,1,0,0,3
0.983104075,1,1,-1,1,0,0,3
0.966730346,1,1,1,1,0,0,3
1.066250741,1,1,1,1,0,0,3
0.96624739,1,1,-1,1,0,0,3
1.79938417,1,1,-1,-1,0,0,3
1.266439758,1,-1,1,1,1,1,1
1.699676027,1,-1,1,1,2,2,2
1.96634217,1,-1,-1,-1,1,1,1
2.482698543,1,-1,-1,-1,3,100,0
1.866364779,1,1,-1,1,0,0,3
1.299635157,1,1,-1,1,0,0,3
1.482862144,1,-1,1,-1,1,1,1
2.365973735,1,1,1,-1,0,0,3
1.849466439,1,-1,1,1,1,1,1
5.515157131,1,1,-1,-1,0,0,3
1.183016901,1,-1,1,-1,1,1,1
1.14983086,1,1,1,-1,2,3,2
1.433072366,1,-1,-1,1,0,0,3
1.482918288,1,1,1,-1,0,0,3
2.349211529,1,-1,-1,-1,0,0,3
2.765985024,1,1,1,-1,0,0,3
0.816424077,1,1,-1,1,0,0,3
3.365696035,1,-1,-1,-1,0,0,3
1.799971566,1,1,-1,-1,1,1,1
2.299222229,1,-1,1,1,1,1,1
2.732361303,1,-1,1,-1,0,0,3
0.983221192,1,1,1,-1,0,0,3
1.949643654,1,-1,-1,1,3,100,0
1.482962056,1,-1,-1,1,3,100,0
1.399825049,1,-1,-1,-1,0,0,3
2.24933918,1,-1,-1,-1,2,3,2
1.033100921,1,-1,-1,1,0,0,3
1.466360432,1,-1,-1,1,2,2,2
2.182782969,1,-1,-1,1,0,0,3
3.732277691,1,-1,1,-1,1,1,1
1.966215092,1,-1,1,-1,2,3,2
1.03310726,1,-1,-1,1,0,0,3
3.648942371,1,-1,1,-1,1,1,1
2.849042343,1,-1,-1,-1,0,0,3
1.166613592,1,-1,-1,-1,0,0,3
1.716156308,1,1,1,-1,0,0,3
0.849920418,1,1,1,-1,0,0,3
2.682476443,1,1,1,1,0,0,3
1.299677717,1,1,-1,1,0,0,3
1.216312212,1,1,1,1,0,0,3
0.933030258,1,1,1,1,0,0,3
2.13274145,1,1,1,-1,0,0,3
1.749585639,1,-1,1,1,0,0,3
1.166313857,1,1,1,1,0,0,3
0.849902911,1,-1,1,1,0,0,3
1.016547291,1,1,-1,1,0,0,3
2.2495221,1,-1,-1,-1,0,0,3
1.04972307,1,1,1,1,0,0,3
1.083160852,1,-1,-1,1,0,0,3
0.966505772,1,1,-1,1,0,0,3
1.183074252,1,1,1,-1,0,0,3
0.933065273,1,1,1,1,0,0,3
1.183028975,1,1,-1,-1,2,3,2
1.299806002,1,1,1,1,0,0,3
1.416314083,1,-1,-1,1,0,0,3
1.316379554,1,-1,-1,-1,0,0,3
1.266297285,1,1,1,-1,0,0,3
0.866730014,1,-1,1,1,0,0,3
1.216236146,1,1,1,-1,2,3,2
0.983091699,1,1,-1,1,0,0,3
2.866200875,1,-1,-1,1,0,0,3
2.432763878,1,-1,1,-1,2,3,2
2.149505468,1,1,1,-1,2,3,2
2.449390554,1,-1,1,-1,2,3,2
2.732538488,1,-1,-1,-1,0,0,3
1.949335166,1,1,-1,-1,2,3,2
3.132410021,1,1,1,1,0,0,3
1.666091848,1,-1,1,1,0,0,3
1.399875759,1,-1,-1,-1,3,100,0
1.31615015,1,-1,1,1,1,1,1
2.765788521,1,-1,-1,-1,2,2,2
3.14923471,1,-1,1,1,0,0,3
2.215952108,1,1,1,1,2,3,2
1.432850206,1,1,1,1,0,0,3
1.54962995,1,-1,-1,-1,0,0,3
1.433288187,1,-1,-1,1,0,0,3
1.816134303,1,1,1,-1,2,3,2
0.950078013,1,-1,-1,1,0,0,3
1.316273304,1,1,-1,-1,0,0,3
1.149829652,1,1,1,-1,2,2,2
1.882922031,1,1,-1,-1,0,0,3
1.149720685,1,-1,1,1,0,0,3
1.599673884,1,-1,1,-1,0,0,3
1.266333507,1,-1,-1,1,0,0,3
3.346306848,1,-1,1,1,0,0,3
1.533047343,1,-1,1,1,0,0,3
3.698742714,1,1,1,-1,2,2,2
1.716245956,1,1,1,1,0,0,3
2.54943888,1,-1,1,-1,1,1,1
1.399587495,1,-1,1,-1,0,0,3
1.199763714,1,-1,-1,1,0,0,3
1.299787892,1,1,1,1,1,1,1
1.46624241,1,-1,-1,-1,2,3,2
2.715909698,1,1,1,1,1,1,1
3.315799101,1,-1,-1,1,0,0,3
1.349452705,1,1,-1,-1,2,3,2
2.182690906,1,-1,1,-1,1,1,1
2.565917652,1,1,1,1,0,0,3
1.999862659,1,1,1,1,0,0,3
1.166254695,1,1,-1,-1,0,0,3
1.182935402,1,1,-1,1,0,0,3
0.749978041,1,1,-1,1,0,0,3
0.883043977,1,1,-1,1,0,0,3
